Model,Parameters,MTT · Tagging / ROC-AUC (x100),MTT · Tagging / Average precision (x100),GiantSteps · Key / Refined accuracy (x100),GTZAN · Genre / Accuracy (x100),GTZAN · Beat / F1 (x100),EmoMusic · Valence / R² (x100),EmoMusic · Arousal / R² (x100),MTG-Jamendo · Instrument / ROC-AUC (x100),MTG-Jamendo · Instrument / Average precision (x100),MTG-Jamendo · Mood / theme / ROC-AUC (x100),MTG-Jamendo · Mood / theme / Average precision (x100),MTG-Jamendo · Genre / ROC-AUC (x100),MTG-Jamendo · Genre / Average precision (x100),MTG-Jamendo · Top 50 / ROC-AUC (x100),MTG-Jamendo · Top 50 / Average precision (x100)
MERT-Large,330M,90.60,37.90,64.10,77.60,86.80,56.70,76.10,75.50,18.80,75.30,13.50,86.10,18.00,82.60,29.10
Dasheng-1.2B,1.2B,91.50,40.40,58.00,81.40,87.70,57.40,75.00,75.00,19.00,76.10,15.50,85.50,18.80,82.40,29.60
MuQ,310M,90.50,38.50,63.20,83.80,90.10,58.30,76.40,74.80,19.10,73.70,13.20,85.40,19.10,83.00,30.20
MusicFM,330M,90.90,38.30,63.00,84.10,90.20,57.20,74.40,74.60,18.50,74.90,14.10,85.30,19.40,81.90,29.70
AudioMAE++,307M,91.20,39.50,61.70,80.30,90.00,59.00,75.70,77.10,19.90,75.60,14.00,86.30,18.90,83.10,31.10
MATPAC++,307M,90.60,38.20,63.70,81.40,90.10,57.80,74.70,77.20,19.70,75.10,14.10,85.70,19.60,82.50,30.20
A-JEPA,307M,91.00,39.20,65.00,83.80,90.00,57.40,74.80,76.60,19.30,74.60,14.30,85.50,19.20,82.50,29.60
PupuJEPA-Large,307M,91.70,40.80,66.10,86.90,91.00,62.50,76.80,78.40,21.20,76.20,15.30,86.10,20.10,82.80,30.50
PupuJEPA-Huge,632M,91.30,39.70,64.80,85.90,90.50,62.00,78.50,77.60,20.50,75.90,14.70,85.90,20.10,83.10,30.70
MERT2-30s,632M,91.91,41.29,66.97,91.72,90.59,63.23,80.01,80.27,22.89,79.44,16.68,88.01,21.22,84.18,32.17
MERT2-300s,632M,91.74,41.20,67.05,90.69,90.57,63.52,78.14,80.27,23.51,78.74,15.74,87.98,20.66,84.13,31.62
